"","event_smas_history_id","match","TOTAL.DISSOLVED.SOLIDS","SPECIFIC.CONDUCTANCE","event_smas_sample_date","US_L3CODE","US_L3NAME","NA_L3CODE","NA_L3NAME","NA_L2CODE","NA_L2NAME","NA_L1CODE","NA_L1NAME","STATE_NAME","EPA_REGION","L3_KEY","L2_KEY","L1_KEY","latitude","longitude"
"34","02-ALGY-20.3","02-ALGY-20.3_2018-10-17",81,93.2,2018-10-17,"62","North Central Appalachians","5.3.3","North Central Appalachians","5.3","ATLANTIC HIGHLANDS","5","NORTHERN FORESTS","New York",2,"62  North Central Appalachians","5.3  ATLANTIC HIGHLANDS","5  NORTHERN FORESTS",42.15716,-78.71793
"35","02-ALGY-20.3","02-ALGY-20.3_2019-04-16",59,79,2019-04-16,"62","North Central Appalachians","5.3.3","North Central Appalachians","5.3","ATLANTIC HIGHLANDS","5","NORTHERN FORESTS","New York",2,"62  North Central Appalachians","5.3  ATLANTIC HIGHLANDS","5  NORTHERN FORESTS",42.15716,-78.71793
"36","02-ALGY-20.3","02-ALGY-20.3_2019-06-12",94,147,2019-06-12,"62","North Central Appalachians","5.3.3","North Central Appalachians","5.3","ATLANTIC HIGHLANDS","5","NORTHERN FORESTS","New York",2,"62  North Central Appalachians","5.3  ATLANTIC HIGHLANDS","5  NORTHERN FORESTS",42.15716,-78.71793
"37","02-ALGY-20.3","02-ALGY-20.3_2019-08-13",132,223.9,2019-08-13,"62","North Central Appalachians","5.3.3","North Central Appalachians","5.3","ATLANTIC HIGHLANDS","5","NORTHERN FORESTS","New York",2,"62  North Central Appalachians","5.3  ATLANTIC HIGHLANDS","5  NORTHERN FORESTS",42.15716,-78.71793
"38","02-ALGY-20.3","02-ALGY-20.3_2019-10-23",105,228.8,2019-10-23,"62","North Central Appalachians","5.3.3","North Central Appalachians","5.3","ATLANTIC HIGHLANDS","5","NORTHERN FORESTS","New York",2,"62  North Central Appalachians","5.3  ATLANTIC HIGHLANDS","5  NORTHERN FORESTS",42.15716,-78.71793
"39","02-BLHL-0.5","02-BLHL-0.5_2012-07-19",5030,8084,2012-07-19,"62","North Central Appalachians","5.3.3","North Central Appalachians","5.3","ATLANTIC HIGHLANDS","5","NORTHERN FORESTS","New York",2,"62  North Central Appalachians","5.3  ATLANTIC HIGHLANDS","5  NORTHERN FORESTS",42.112,-78.4353
"40","02-CHAD-2.2","02-CHAD-2.2_2017-06-15",176,321.9,2017-06-15,"61","Erie Drift Plain","8.1.10","Erie Drift Plain","8.1","MIXED WOOD PLAINS","8","EASTERN TEMPERATE FORESTS","New York",2,"61  Erie Drift Plain","8.1  MIXED WOOD PLAINS","8  EASTERN TEMPERATE FORESTS",42.11245,-79.20303
"41","02-CHAD-2.2","02-CHAD-2.2_2017-08-15",167,318,2017-08-15,"61","Erie Drift Plain","8.1.10","Erie Drift Plain","8.1","MIXED WOOD PLAINS","8","EASTERN TEMPERATE FORESTS","New York",2,"61  Erie Drift Plain","8.1  MIXED WOOD PLAINS","8  EASTERN TEMPERATE FORESTS",42.11245,-79.20303
"42","02-CHAD-2.2","02-CHAD-2.2_2017-10-19",139,181.7,2017-10-19,"61","Erie Drift Plain","8.1.10","Erie Drift Plain","8.1","MIXED WOOD PLAINS","8","EASTERN TEMPERATE FORESTS","New York",2,"61  Erie Drift Plain","8.1  MIXED WOOD PLAINS","8  EASTERN TEMPERATE FORESTS",42.11245,-79.20303
"43","02-CHAD-2.2","02-CHAD-2.2_2018-04-16",130,231,2018-04-16,"61","Erie Drift Plain","8.1.10","Erie Drift Plain","8.1","MIXED WOOD PLAINS","8","EASTERN TEMPERATE FORESTS","New York",2,"61  Erie Drift Plain","8.1  MIXED WOOD PLAINS","8  EASTERN TEMPERATE FORESTS",42.11245,-79.20303
