LAKE_HISTORY_ID,LOCATION_HISTORY_ID,MUNICIPALITY,DEC_REGION,DEC_REGION,LOCATION_PWL_ID,LOCATION_NAME,LOCATION_TYPE,LOCATION_X_COORDINATE,LOCATION_Y_COORDINATE,LOCATION_HORIZONTAL_METHOD,LOCATION_HORIZONTAL_DATUM,LOCATION_WATERBODY_CLASSIFICATION,MAJOR_BASIN_ID,US_L3CODE,US_L3NAME,NA_L3CODE,NA_L3NAME,NA_L2CODE,NA_L2NAME,NA_L1CODE,NA_L1NAME,STATE_NAME,EPA_REGION,L3_KEY,L2_KEY,L1_KEY
0202UWB5581,0202UWB5581_C,North Harmony,9,Chautauqua,NA,UNNAMED WATER CENTROID,CENTROID,-79.5261,42.087299,INTERPOLATION-OTHER,NAD83,NA,2,61,Erie Drift Plain,8.1.10,Erie Drift Plain,8.1,MIXED WOOD PLAINS,8,EASTERN TEMPERATE FORESTS,New York,5,61  Erie Drift Plain,8.1  MIXED WOOD PLAINS,8  EASTERN TEMPERATE FORESTS
0202UWB5582,0202UWB5582_C,Sherman,9,Chautauqua,NA,UNNAMED WATER CENTROID,CENTROID,-79.529404,42.090599,INTERPOLATION-OTHER,NAD83,NA,2,61,Erie Drift Plain,8.1.10,Erie Drift Plain,8.1,MIXED WOOD PLAINS,8,EASTERN TEMPERATE FORESTS,New York,5,61  Erie Drift Plain,8.1  MIXED WOOD PLAINS,8  EASTERN TEMPERATE FORESTS
0202UWB5604,0202UWB5604_C,Ripley,9,Chautauqua,NA,UNNAMED WATER CENTROID,CENTROID,-79.722099,42.1745,INTERPOLATION-OTHER,NAD83,NA,2,61,Erie Drift Plain,8.1.10,Erie Drift Plain,8.1,MIXED WOOD PLAINS,8,EASTERN TEMPERATE FORESTS,New York,5,61  Erie Drift Plain,8.1  MIXED WOOD PLAINS,8  EASTERN TEMPERATE FORESTS
0202WMU0145,0202WMU0145_C,Arkwright,9,Chautauqua,0202-0054,WEST MUD LAKE CENTROID,CENTROID,-79.178299,42.400501,INTERPOLATION-OTHER,NAD83,C,2,61,Erie Drift Plain,8.1.10,Erie Drift Plain,8.1,MIXED WOOD PLAINS,8,EASTERN TEMPERATE FORESTS,New York,5,61  Erie Drift Plain,8.1  MIXED WOOD PLAINS,8  EASTERN TEMPERATE FORESTS
0301CRA0155,0301CRA0155_C,Greece,8,Monroe,0301-0016,CRANBERRY POND CENTROID,CENTROID,-77.697304,43.300499,INTERPOLATION-OTHER,NAD83,B,3,83,Eastern Great Lakes Lowlands,8.1.1,Eastern Great Lakes Lowlands,8.1,MIXED WOOD PLAINS,8,EASTERN TEMPERATE FORESTS,New York,2,83  Eastern Great Lakes Lowlands,8.1  MIXED WOOD PLAINS,8  EASTERN TEMPERATE FORESTS
0301GOO0167O,0301GOO0167O_C,Oakfield,8,Genesee,0301-0042,GOOSE POND CENTROID,CENTROID,-78.276802,43.118698,INTERPOLATION-OTHER,NAD83,C,3,83,Eastern Great Lakes Lowlands,8.1.1,Eastern Great Lakes Lowlands,8.1,MIXED WOOD PLAINS,8,EASTERN TEMPERATE FORESTS,New York,2,83  Eastern Great Lakes Lowlands,8.1  MIXED WOOD PLAINS,8  EASTERN TEMPERATE FORESTS
0301LON0154,0301LON0154_C,Greece,8,Monroe,0301-0015,Long Pond Centroid,CENTROID,-77.69364,43.2897,INTERPOLATION,NAD83,B,3,83,Eastern Great Lakes Lowlands,8.1.1,Eastern Great Lakes Lowlands,8.1,MIXED WOOD PLAINS,8,EASTERN TEMPERATE FORESTS,New York,2,83  Eastern Great Lakes Lowlands,8.1  MIXED WOOD PLAINS,8  EASTERN TEMPERATE FORESTS
0301MID0177A,0301MID0177A_C,Royalton,9,Niagara,0301-0047,MIDDLEPORT RESERVOIR CENTROID,CENTROID,-78.475197,43.188999,INTERPOLATION-OTHER,NAD83,A,3,83,Eastern Great Lakes Lowlands,8.1.1,Eastern Great Lakes Lowlands,8.1,MIXED WOOD PLAINS,8,EASTERN TEMPERATE FORESTS,New York,2,83  Eastern Great Lakes Lowlands,8.1  MIXED WOOD PLAINS,8  EASTERN TEMPERATE FORESTS
0301UWB0153D,0301UWB0153D_C,Greece,8,Monroe,NA,UNNAMED WATER CENTROID,CENTROID,-77.690498,43.2799,INTERPOLATION-OTHER,NAD83,NA,3,83,Eastern Great Lakes Lowlands,8.1.1,Eastern Great Lakes Lowlands,8.1,MIXED WOOD PLAINS,8,EASTERN TEMPERATE FORESTS,New York,2,83  Eastern Great Lakes Lowlands,8.1  MIXED WOOD PLAINS,8  EASTERN TEMPERATE FORESTS
0301UWB0190A,0301UWB0190A_C,Lewiston,9,Niagara,NA,UNNAMED WATER CENTROID,CENTROID,-78.9263,43.183201,INTERPOLATION-OTHER,NAD83,NA,3,83,Eastern Great Lakes Lowlands,8.1.1,Eastern Great Lakes Lowlands,8.1,MIXED WOOD PLAINS,8,EASTERN TEMPERATE FORESTS,New York,2,83  Eastern Great Lakes Lowlands,8.1  MIXED WOOD PLAINS,8  EASTERN TEMPERATE FORESTS
0301WAT0166,0301WAT0166_C,Carlton,8,Orleans,0301-0035,WATERPORT RESERVOIR CENTROID,CENTROID,-78.258499,43.3213,INTERPOLATION-OTHER,NAD83,C,3,83,Eastern Great Lakes Lowlands,8.1.1,Eastern Great Lakes Lowlands,8.1,MIXED WOOD PLAINS,8,EASTERN TEMPERATE FORESTS,New York,2,83  Eastern Great Lakes Lowlands,8.1  MIXED WOOD PLAINS,8  EASTERN TEMPERATE FORESTS
0302DEE0142,0302DEE0142_C,Mendon,8,Monroe,0302-0033,DEEP POND CENTROID,CENTROID,-77.570503,43.022999,INTERPOLATION-OTHER,NAD83,C,3,83,Eastern Great Lakes Lowlands,8.1.1,Eastern Great Lakes Lowlands,8.1,MIXED WOOD PLAINS,8,EASTERN TEMPERATE FORESTS,New York,2,83  Eastern Great Lakes Lowlands,8.1  MIXED WOOD PLAINS,8  EASTERN TEMPERATE FORESTS
0302HUN0143,0302HUN0143_C,Mendon,8,Monroe,0302-0034,HUNDRED ACRE POND CENTROID,CENTROID,-77.564499,43.029098,INTERPOLATION-OTHER,NAD83,B,3,83,Eastern Great Lakes Lowlands,8.1.1,Eastern Great Lakes Lowlands,8.1,MIXED WOOD PLAINS,8,EASTERN TEMPERATE FORESTS,New York,2,83  Eastern Great Lakes Lowlands,8.1  MIXED WOOD PLAINS,8  EASTERN TEMPERATE FORESTS
0302LAC0132,0302LAC0132_C,Perinton,8,Monroe,0302-0031,LAKE LACOMA CENTROID,CENTROID,-77.479401,43.0509,INTERPOLATION-OTHER,NAD83,B,3,83,Eastern Great Lakes Lowlands,8.1.1,Eastern Great Lakes Lowlands,8.1,MIXED WOOD PLAINS,8,EASTERN TEMPERATE FORESTS,New York,2,83  Eastern Great Lakes Lowlands,8.1  MIXED WOOD PLAINS,8  EASTERN TEMPERATE FORESTS
0302MIL0092,0302MIL0092_C,Butler,8,Wayne,0302-0061,MILLPOND CENTROID,CENTROID,-76.7658,43.169701,INTERPOLATION-OTHER,NAD83,B,3,83,Eastern Great Lakes Lowlands,8.1.1,Eastern Great Lakes Lowlands,8.1,MIXED WOOD PLAINS,8,EASTERN TEMPERATE FORESTS,New York,2,83  Eastern Great Lakes Lowlands,8.1  MIXED WOOD PLAINS,8  EASTERN TEMPERATE FORESTS
0302SIL0065,0302SIL0065_C,Oswego,7,Oswego,0302-0048,SILVER LAKE CENTROID,CENTROID,-76.549599,43.378101,INTERPOLATION-OTHER,NAD83,C,3,83,Eastern Great Lakes Lowlands,8.1.1,Eastern Great Lakes Lowlands,8.1,MIXED WOOD PLAINS,8,EASTERN TEMPERATE FORESTS,New York,2,83  Eastern Great Lakes Lowlands,8.1  MIXED WOOD PLAINS,8  EASTERN TEMPERATE FORESTS
