"LAKE_HISTORY_ID","LOCATION_X_COORDINATE","LOCATION_Y_COORDINATE"
"1309BAS0950A",-74.013901,42.481201
"1309HOL0913",-73.884499,42.309502
"1309NOR6398",-74.042801,42.198101
"1310BLA0N80B",-73.409599,42.617699
"1310COP0108",-73.595497,42.144001
"1310KIN0024",-73.660103,42.452599
"1310MOO0124A",-73.651703,42.235599
"1310NAS0034",-73.603798,42.538101
"1310ROU0080",-73.435501,42.644699
"1310SMI0042",-73.607498,42.364799
"1310SUT0052",-73.568603,42.401298
"1311MIL0289",-74.133003,42.764702
"1311WAT0270",-73.968399,42.719601
"1401BRI0241",-74.873596,41.7645
"1401BUR0082",-74.743896,41.524101
"1401CHA0173A",-74.8283,41.518902
"1401CHE0106",-74.887299,41.677601
"1401CRY0197",-74.906303,41.624
"1401CRY0260",-75.026901,41.8731
"1401DAV0209",-74.982101,41.5723
"1401FOX0192",-74.938003,41.591801
"1401HAL0193",-74.944504,41.596901
"1401HUN0216",-74.990402,41.682899
"1401LUX0212",-75.011101,41.598301
"1401MAH0208",-74.984299,41.558998
"1401MON0096A",-74.7771,41.547199
"1401MOU0114",-74.814796,41.657101
"1401NIA0211A",-74.933899,41.629799
"1401RIO0079A",-74.758003,41.481998
"1401ROC0207",-74.998001,41.555801
"1401STJ0096",-74.704102,41.597401
"1401SUP0104",-74.876602,41.6656
"1401SWA0128",-74.797401,41.762001
"1401SWA0211",-74.982696,41.593201
"1401SWI0108A",-74.778603,41.5895
"1401TOR0100A",-74.839401,41.626598
"1401TRO0196",-74.916397,41.611401
"1401TUR0190",-74.9431,41.580399
"1401UWB5217",-74.851898,41.649601
"1401WEL0195",-74.911202,41.5895
"1402DAV0038C",-74.599602,41.619999
"1402EAS0055",-74.579399,41.732899
"1402EVE0050A",-74.652603,41.764702
"1402GUY0014",-74.6008,41.428398
"1402HAW0005A",-74.624,41.3769
"1402KIA0044",-74.666397,41.676899
"1402LOU0040",-74.580399,41.605202
"1402MAR0002",-74.654602,41.4007
"1402MAR0008",-74.632896,41.432899
"1402MOR0050",-74.651001,41.75116
"1402PLE0045",-74.627998,41.696098
"1402RE10003",-74.689697,41.393101
"1402SAN0009",-74.626999,41.444599
"1402SHE0051",-74.656502,41.773998
"1402TRE0039",-74.5905,41.610699
"1402UWB5050",-74.540001,41.5196
"1402WOL0037",-74.588097,41.586601
"1402YAN0021",-74.553101,41.584999
"1403ALD0346",-74.6763,42.048401
"1403BIG0345",-74.7239,42.046799
"1403LAU0352",-75.071503,42.119999
"1403LIT0344",-74.7472,42.039799
"1403MUS0280A",-74.992798,41.912102
"1403TRO0287",-74.944702,42.009102
"1403UWB0368E",-74.535698,42.174099
"1403WAN0338",-74.8293,41.9636
"1404BEA0401",-75.378899,42.2019
"1404PAG0387",-75.512497,42.0074
"1404PAG0391",-75.482201,42.142601
"1404RUS0410",-75.095497,42.1222
"1404TAN5539",-74.871101,42.230701
"1501CON0984",-73.939697,41.142799
"1501CRA1015",-74.114098,41.293598
"1501DEF0977A",-73.962097,41.131802
"1501FOR1016",-74.1035,41.298698
"1501FOU6903",-74.222397,41.2225
"1501GRE1026",-74.319603,41.1898
"1501MOM1010",-74.205803,41.280899
"1501ROC0985",-73.922798,41.138599
"1501STE1021C",-74.2603,41.163502
"1501STE1025",-74.259102,41.207199
"1501SWA0984A",-73.930801,41.1511
"1601GRE1117",-73.605102,41.5769
"1701AVO0961",-73.413399,40.674198
"1701BAI1033",-73.785599,40.677601
"1701CAN0889",-73.021202,40.787899
"1701DAM0395",-72.328201,41.134998
"1701DEE0615",-72.8311,40.936298
"1701DON0565A",-72.779098,40.898102
"1701EMI0851",-72.830498,40.807899
"1701FOR0985",-73.5215,40.695702
"1701FRE0753",-72.024498,41.0159
"1701GEO0780",-72.229103,40.939098
"1701GRE0885",-73.0214,40.7687
"1701HAS0420",-72.410004,41.086601
"1701JON0981",-73.518402,40.6656
"1701KNA0912",-73.2015,40.732899
"1701LAU0496",-72.557503,40.978901
"1701LOW0855",-72.925003,40.8363
"1701MAI0907",-73.147797,40.751701
"1701MAR0495",-72.524002,40.993099
"1701MAS0969",-73.463303,40.678299
"1701MIL0847",-72.7733,40.802502
"1701MIL0994",-73.602699,40.652199
"1701MON0761",-71.922203,41.061401
"1701OYS0764",-71.891701,41.072498
"1701PEC0555",-72.717796,40.914001
"1701PECXXX1",-72.694956,40.916064
